-2.000 + 0.000i
-9.874 + -5.529i
-13.137 + 4.613i
5.147 + -5.569i
4.828 + 6.828i
0.402 + -1.721i
-1.620 + -0.918i
-1.406 + -1.498i
-2.000 + 0.000i
3.804 + 0.900i
-0.723 + 3.082i
0.262 + -2.385i
-0.828 + -1.172i
-0.154 + -0.576i
-0.520 + 0.613i
1.819 + 2.526i
-2.000 + 0.000i
1.819 + -2.526i
-0.520 + -0.613i
-0.154 + 0.576i
-0.828 + 1.172i
0.262 + 2.385i
-0.723 + -3.082i
3.804 + -0.900i
-2.000 + 0.000i
-1.406 + 1.498i
-1.620 + 0.918i
0.402 + 1.721i
4.828 + -6.828i
5.147 + 5.569i
-13.137 + -4.613i
-9.874 + 5.529i
